code,name,inAmericaStates,inCanadaProvinces,type,links
OR,Oregon,true,false,state,[{"name":"Cold Planing","url":"https://www.oregon.gov/odot/Business/Specs/2024_STANDARD_SPECIFICATIONS.pdf","class":"pdf"}]
PA,Pennsylvania,true,false,state,
RI,Rhode Island,true,false,state,[{"name":"Cold Planing","url":"https://www.dot.ri.gov/business/contractorsandconsultants.php","class":"web"}]
SC,South Carolina,true,false,state,[{"name":"Cold Planing","url":"https://www.scdot.org/content/dam/scdot-legacy/business/pdf/2007_full_specbook.pdf","class":"pdf"}]
SD,South Dakota,true,false,state,[{"name":"Cold Planing","url":"https://dot.sd.gov/doing-business/contractors/standard-specifications/2015-standard-specifications#listItemLink_1292","class":"web"}]
TN,Tennessee,true,false,state,
TX,Texas,true,false,state,[{"name":"Cold Planing","url":"https://ftp.txdot.gov/pub/txdot-info/des/spec-book-1114.pdf","class":"pdf"}]
UT,Utah,true,false,state,
VT,Vermont,true,false,state,[{"name":"Cold Planing","url":"https://vtrans.vermont.gov/highway/construct-material/construct-services/pre-contractspecifications/vermont/2024","class":"web"}]
VA,Virginia,true,false,state,[{"name":"Cold Planing","url":"https://www.vdot.virginia.gov/media/vdotvirginiagov/doing-business/technical-guidance-and-support/technical-guidance-documents/construction/VDOT_2020_RB_Specs_acc071522.pdf","class":"pdf"}]
WA,Washington,true,false,state,[{"name":"Cold Planing","url":"https://www.wsdot.wa.gov/publications/manuals/fulltext/M41-10/SS.pdf","class":"pdf"}]
WV,West Virginia,true,false,state,[{"name":"Cold Planing","url":"https://transportation.wv.gov/highways/TechnicalSupport/specifications/Documents/2023_Standard_%2812-16-22%29.pdf","class":"pdf"}]
WI,Wisconsin,true,false,state,[{"name":"Cold Planing","url":"https://wisconsindot.gov/Pages/doing-bus/eng-consultants/cnslt-rsrces/rdwy/stndspec.aspx","class":"web"}]
WY,Wyoming,true,false,state,[{"name":"Cold Planing","url":"https://www.dot.state.wy.us/files/live/sites/wydot/files/shared/Construction/2021%20Standard%20Specifications/Wyoming%202021%20Standard%20Specifications%20for%20Road%20and%20Bridge%20Construction.pdf","class":"pdf"}]
AB,Alberta,false,true,province,[{"name":"Cold Planing","url":"https://open.alberta.ca/publications/standard-specifications-for-highway-construction-edition-16","class":"web"}]
BC,British Columbia,false,true,province,[{"name":"Cold Planing","url":"https://www2.gov.bc.ca/gov/content/transportation/transportation-infrastructure/engineering-standards-guidelines/standard-specifications-for-highway-construction","class":"web"}]
MB,Manitoba,false,true,province,[{"name":"Cold Planing","url":"https://www.gov.mb.ca/mti/contracts/manual.html","class":"web"}]
NB,New Brunswick,false,true,province,[{"name":"Cold Planing","url":"https://www2.gnb.ca/content/gnb/en/departments/dti/tenders_contracts/content/2023_standard_specifications.html","class":"web"}]
NL,Newfoundland and Labrador,false,true,province,[{"name":"Cold Planing","url":"https://www.gov.nl.ca/ti/hdc/highway-specification-book/division-3/","class":"web"}]
NS,Nova Scotia,false,true,province,[{"name":"Cold Planing","url":"https://novascotia.ca/tran/highways/ssm/","class":"web"}]
NT,Northwest Territories,false,true,province,[{"name":"Cold Planing","url":"https://www.inf.gov.nt.ca/sites/inf/files/resources/combined_standard_specification_for_highway_construction_20210331.pdf","class":"pdf"},{"name":"Cold Planing","url":"https://www.inf.gov.nt.ca/en/surface-design-and-construction-highways","class":"web"}]
NU,Nunavut,false,true,province,
ON,Ontario,false,true,province,[{"name":"Cold Planing","url":"https://www.library.mto.gov.on.ca/SydneyPLUS/TechPubs/Portal/tp/opsViews.aspx?lang=en-US","class":"web"}]
QC,Quebec,false,true,province,
SK,Saskatchewan,false,true,province,[{"name":"Cold Planing","url":"https://publications.saskatchewan.ca/#/products/109108","class":"web"}]
YT,Yukon,false,true,province,
PE,Prince Edward Island,false,true,province,[{"name":"Cold Planing","url":"https://www.princeedwardisland.ca/en/publication/general-provisions-and-contract-specifications-for-highway-construction","class":"web"}]
